index,title,company,industry,location,salary,education,department,experience,language,skills,additional,relevance_score,summary,link
481,【台南】前端工程師－PHP / Javascript / Vue.js,10 / 30【台南】前端工程師－PHP / Javascript / Vue.js星益欣數位服務股份有限公司,N/A,台南市,面議（經常性薪資達4萬元,專科,N/A,N/A,N/A,"Java, JavaScript, PHP",需,2,10 / 30 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132134006
482,外業工程師(台北長庚),10 / 30外業工程師(台北長庚)中麟營造股份有限公司,N/A,台北市,"月薪 40,000元",專科,N/A,N/A,N/A,N/A,N/A,1,10 / 30 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/130184911
483,現場工程師(有經驗即可),10 / 27現場工程師 (有經驗即可)奧林匹克營造有限公司,N/A,花蓮縣,"月薪 50,000元",高中職,N/A,不拘,N/A,N/A,N/A,1,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/130454509
484,嘉義太保 | 土建工程師,10 / 29嘉義太保 | 土建工程師欣達環工股份有限公司,N/A,嘉義縣,面議（經常性薪資達4萬元,專科,N/A,N/A,N/A,N/A,N/A,1,10 / 29 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/130311466
485,IoT工程師_汐止/林口/新店,10 / 28IoT工程師_汐止/林口/新店GARMIN 台灣國際航電股份有限公司,N/A,新北市,面議（經常性薪資達4萬元,大學,N/A,N/A,N/A,N/A,N/A,2,10 / 28 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/103900359
486,工地主任/現場工程師,10 / 29工地主任/現場工程師專壹營造有限公司,N/A,高雄市,面議（經常性薪資達4萬元,專科,N/A,不拘,N/A,N/A,N/A,1,10 / 29 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/91463240
487,機電CAD、BIM繪圖工程師,10 / 28機電CAD、BIM繪圖工程師元國水電工程有限公司,建築法規和施工標準，確保圖紙合規。協助圖說送審相關作業,台北市,"月薪 40,000元",高中職,N/A,不拘,N/A,N/A,N/A,1,10 / 28 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/80283123
488,維修工程師(台北\新北),10 / 27維修工程師(台北\新北)高群企業股份有限公司,N/A,新北市,面議（經常性薪資達4萬元,高中職,N/A,不拘,N/A,N/A,N/A,2,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132093648
489,電腦系統工程師(鹽水廠),10 / 26電腦系統工程師(鹽水廠)華新麗華股份有限公司,N/A,台南市,面議（經常性薪資達4萬元,大學,N/A,不拘,N/A,N/A,N/A,0,10 / 26 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132127236
490,【大安】網路管理工程師,10 / 27【大安】網路管理工程師中華系統整合股份有限公司,N/A,台北市,面議（經常性薪資達4萬元,專科,N/A,N/A,N/A,N/A,N/A,2,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/98748670
